--- STARTED NEW SESSION ---
Frame 0070 -> Crop: 0.05ms | Resize: 0.41ms | Bright: 0.39ms | Contrast: 0.85ms | Blur: 0.19ms | HSV Conv: 0.11ms | Total Preprocess: 2.00ms
Frame 0071 -> Crop: 0.05ms | Resize: 0.33ms | Bright: 0.60ms | Contrast: 0.87ms | Blur: 0.07ms | HSV Conv: 0.10ms | Total Preprocess: 2.03ms
Frame 0072 -> Crop: 0.05ms | Resize: 0.32ms | Bright: 0.38ms | Contrast: 0.84ms | Blur: 0.08ms | HSV Conv: 0.10ms | Total Preprocess: 1.78ms
Frame 0073 -> Crop: 0.05ms | Resize: 0.33ms | Bright: 0.39ms | Contrast: 0.86ms | Blur: 0.12ms | HSV Conv: 0.11ms | Total Preprocess: 1.85ms
Frame 0074 -> Crop: 0.05ms | Resize: 0.32ms | Bright: 0.49ms | Contrast: 0.87ms | Blur: 0.08ms | HSV Conv: 0.10ms | Total Preprocess: 1.91ms
Frame 0075 -> Crop: 0.10ms | Resize: 0.33ms | Bright: 0.39ms | Contrast: 0.87ms | Blur: 0.07ms | HSV Conv: 0.11ms | Total Preprocess: 1.87ms
Frame 0076 -> Crop: 0.05ms | Resize: 0.32ms | Bright: 0.48ms | Contrast: 0.89ms | Blur: 0.07ms | HSV Conv: 0.10ms | Total Preprocess: 1.90ms
Frame 0077 -> Crop: 0.05ms | Resize: 0.32ms | Bright: 0.38ms | Contrast: 0.84ms | Blur: 0.08ms | HSV Conv: 0.10ms | Total Preprocess: 1.77ms
Frame 0078 -> Crop: 0.05ms | Resize: 0.32ms | Bright: 0.36ms | Contrast: 1.01ms | Blur: 0.06ms | HSV Conv: 0.10ms | Total Preprocess: 1.90ms
Frame 0079 -> Crop: 0.06ms | Resize: 0.43ms | Bright: 0.47ms | Contrast: 0.84ms | Blur: 0.07ms | HSV Conv: 0.10ms | Total Preprocess: 1.96ms
Frame 0080 -> Crop: 0.06ms | Resize: 0.33ms | Bright: 0.40ms | Contrast: 0.84ms | Blur: 0.07ms | HSV Conv: 0.11ms | Total Preprocess: 1.80ms
Frame 0081 -> Crop: 0.05ms | Resize: 0.32ms | Bright: 0.51ms | Contrast: 0.87ms | Blur: 0.07ms | HSV Conv: 0.11ms | Total Preprocess: 1.92ms
Frame 0082 -> Crop: 0.05ms | Resize: 0.33ms | Bright: 0.39ms | Contrast: 0.89ms | Blur: 0.08ms | HSV Conv: 0.10ms | Total Preprocess: 1.84ms
Frame 0083 -> Crop: 0.05ms | Resize: 0.33ms | Bright: 0.39ms | Contrast: 1.03ms | Blur: 0.06ms | HSV Conv: 0.10ms | Total Preprocess: 1.97ms
Frame 0084 -> Crop: 0.05ms | Resize: 0.32ms | Bright: 0.50ms | Contrast: 0.94ms | Blur: 0.08ms | HSV Conv: 0.09ms | Total Preprocess: 1.98ms
