--- STARTED NEW SESSION ---
Frame 0130 -> Crop: 0.05ms | Resize: 0.42ms | Bright: 0.38ms | Contrast: 0.94ms | Blur: 0.07ms | HSV Conv: 0.12ms | Total Preprocess: 1.99ms
Frame 0131 -> Crop: 0.05ms | Resize: 0.33ms | Bright: 0.40ms | Contrast: 0.91ms | Blur: 0.08ms | HSV Conv: 0.21ms | Total Preprocess: 1.99ms
Frame 0132 -> Crop: 0.05ms | Resize: 0.34ms | Bright: 0.36ms | Contrast: 0.79ms | Blur: 0.13ms | HSV Conv: 0.10ms | Total Preprocess: 1.77ms
Frame 0133 -> Crop: 0.05ms | Resize: 0.31ms | Bright: 0.36ms | Contrast: 0.76ms | Blur: 0.06ms | HSV Conv: 0.10ms | Total Preprocess: 1.64ms
Frame 0134 -> Crop: 0.05ms | Resize: 0.30ms | Bright: 0.50ms | Contrast: 0.79ms | Blur: 0.07ms | HSV Conv: 0.10ms | Total Preprocess: 1.81ms
Frame 0135 -> Crop: 0.06ms | Resize: 0.33ms | Bright: 0.37ms | Contrast: 0.86ms | Blur: 0.07ms | HSV Conv: 0.10ms | Total Preprocess: 1.78ms
Frame 0136 -> Crop: 0.09ms | Resize: 0.39ms | Bright: 0.38ms | Contrast: 0.84ms | Blur: 0.07ms | HSV Conv: 0.10ms | Total Preprocess: 1.87ms
Frame 0137 -> Crop: 0.05ms | Resize: 0.33ms | Bright: 0.52ms | Contrast: 0.89ms | Blur: 0.07ms | HSV Conv: 0.11ms | Total Preprocess: 1.96ms
Frame 0138 -> Crop: 0.06ms | Resize: 0.34ms | Bright: 0.36ms | Contrast: 0.85ms | Blur: 0.07ms | HSV Conv: 0.10ms | Total Preprocess: 1.78ms
Frame 0139 -> Crop: 0.05ms | Resize: 0.43ms | Bright: 0.38ms | Contrast: 0.81ms | Blur: 0.06ms | HSV Conv: 0.12ms | Total Preprocess: 1.85ms
Frame 0140 -> Crop: 0.05ms | Resize: 0.30ms | Bright: 0.35ms | Contrast: 0.85ms | Blur: 0.08ms | HSV Conv: 0.12ms | Total Preprocess: 1.75ms
Frame 0141 -> Crop: 0.05ms | Resize: 0.44ms | Bright: 0.39ms | Contrast: 1.11ms | Blur: 0.07ms | HSV Conv: 0.10ms | Total Preprocess: 2.16ms
